jobtitle_norm,soc_candidates,match_type,match_score
director partner enablement,"['11-9199.11', '15-1199.12', '19-2041.02', '19-3091.02', '27-2012.01', '27-2012.02', '27-2012.03', '27-4014.00', '27-4032.00', '41-1012.00']",fuzzy,100.0
director product development technical,"['11-3011.00', '11-3131.00', '11-9121.00', '11-9121.01', '11-9199.10', '13-1131.00', '13-1151.00', '19-2031.00', '19-2041.03', '51-8091.00']",fuzzy,100.0
director product engagement,"['11-9199.11', '15-1199.12', '19-2041.02', '19-3091.02', '27-2012.01', '27-2012.02', '27-2012.03', '27-4014.00', '27-4032.00', '41-1012.00']",fuzzy,100.0
director public policy research to vp governmental relations,"['11-9199.11', '15-1199.12', '19-2041.02', '19-3091.02', '27-2012.01', '27-2012.02', '27-2012.03', '27-4014.00', '27-4032.00', '41-1012.00']",fuzzy,100.0
director quality assurance,['13-2011.02'],fuzzy,100.0
director regulatory services,"['11-9199.11', '15-1199.12', '19-2041.02', '19-3091.02', '27-2012.01', '27-2012.02', '27-2012.03', '27-4014.00', '27-4032.00', '41-1012.00']",fuzzy,100.0
director safety and labor relations,"['11-9199.11', '15-1199.12', '19-2041.02', '19-3091.02', '27-2012.01', '27-2012.02', '27-2012.03', '27-4014.00', '27-4032.00', '41-1012.00']",fuzzy,100.0
director sec reporting technical accounting,"['13-2081.00', '43-3021.02', '43-3031.00', '43-3051.00']",fuzzy,100.0
director software engineering,"['11-9199.11', '15-1199.12', '19-2041.02', '19-3091.02', '27-2012.01', '27-2012.02', '27-2012.03', '27-4014.00', '27-4032.00', '41-1012.00']",fuzzy,100.0
director solutions analysis,"['11-9199.11', '15-1199.12', '19-2041.02', '19-3091.02', '27-2012.01', '27-2012.02', '27-2012.03', '27-4014.00', '27-4032.00', '41-1012.00']",fuzzy,100.0
director strategic accounts smartsource,"['11-9199.11', '15-1199.12', '19-2041.02', '19-3091.02', '27-2012.01', '27-2012.02', '27-2012.03', '27-4014.00', '27-4032.00', '41-1012.00']",fuzzy,100.0
director supply chain and business planning,"['11-9199.11', '15-1199.12', '19-2041.02', '19-3091.02', '27-2012.01', '27-2012.02', '27-2012.03', '27-4014.00', '27-4032.00', '41-1012.00']",fuzzy,100.0
director technical accounting and financial reporting,"['13-2081.00', '43-3021.02', '43-3031.00', '43-3051.00']",fuzzy,100.0
director ww returns,"['11-9199.11', '15-1199.12', '19-2041.02', '19-3091.02', '27-2012.01', '27-2012.02', '27-2012.03', '27-4014.00', '27-4032.00', '41-1012.00']",fuzzy,100.0
dish washer,['35-9021.00'],exact,100.0
dispatcher,"['27-4013.00', '43-5031.00', '43-5032.00', '43-5061.00', '51-1011.00', '51-8031.00', '51-8092.00', '53-2021.00']",exact,100.0
distribution customer service agent,"['13-1011.00', '13-1021.00', '13-2061.00', '33-3021.01', '33-3021.03', '41-1011.00', '41-3011.00', '41-4012.00', '53-4031.00']",fuzzy,100.0
district,['43-9061.00'],fuzzy,100.0
district branch manager,['11-9199.00'],fuzzy,100.0
district cook,"['35-1011.00', '35-2011.00', '35-2012.00', '35-2013.00', '35-2014.00', '35-2015.00', '35-2019.00', '51-1011.00', '51-3011.00', '51-3093.00']",fuzzy,100.0
district deployment specialist,"['13-1023.00', '41-9021.00']",fuzzy,100.0
district manager,"['11-1021.00', '11-2022.00', '11-3031.02', '11-9141.00', '41-1012.00']",exact,100.0
district service manager,"['11-1021.00', '11-2022.00', '11-3031.02', '11-9141.00', '41-1012.00']",fuzzy,100.0
division leader,"['11-2022.00', '11-9039.00', '11-9199.00']",fuzzy,100.0
division manager,"['11-2022.00', '41-1012.00']",exact,100.0
division marketing manager,"['11-2022.00', '11-9039.00', '11-9199.00']",fuzzy,100.0
dna research technician,['19-4092.00'],fuzzy,100.0
documentation specialist,"['15-1199.12', '27-3042.00', '31-9094.00', '43-4071.00']",exact,100.0
double agent,"['13-1011.00', '13-1021.00', '13-2061.00', '33-3021.01', '33-3021.03', '41-1011.00', '41-3011.00', '41-4012.00', '53-4031.00']",fuzzy,100.0
dr kamal sadiq research,['29-1199.04'],fuzzy,100.0
driver dispatcher,"['27-4013.00', '43-5031.00', '43-5032.00', '43-5061.00', '51-1011.00', '51-8031.00', '51-8092.00', '53-2021.00']",fuzzy,100.0
driving warehouse,"['43-5081.03', '53-1021.00', '53-7062.00']",fuzzy,100.0
durable medical equipment specialist,"['17-3023.03', '49-9062.00']",fuzzy,100.0
dvp district manager ny metro,"['11-1021.00', '11-2022.00', '11-3031.02', '11-9141.00', '41-1012.00']",fuzzy,100.0
e business analyst,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
editor,"['27-3041.00', '27-3042.00', '27-4014.00', '27-4032.00', '43-9031.00', '43-9081.00']",exact,100.0
editor social media coordinator,"['11-3061.00', '21-1012.00', '43-1011.00', '51-1011.00']",fuzzy,100.0
editor typist,"['27-3041.00', '27-3042.00', '27-4014.00', '27-4032.00', '43-9031.00', '43-9081.00']",fuzzy,100.0
education coordinator,"['11-9031.00', '21-1012.00', '21-1091.00', '25-9031.00', '29-2021.00']",exact,100.0
education training representative,"['11-1031.00', '21-1029.00', '41-3011.00', '41-3099.00', '43-4199.00']",fuzzy,100.0
educator,"['21-1091.00', '25-2012.00', '25-2021.00', '25-2022.00', '25-2031.00', '25-3021.00']",exact,100.0
electrcal engineering,"['17-3012.02', '17-3022.00', '17-3023.03', '17-3025.00', '17-3029.00', '17-3029.02', '17-3031.01']",fuzzy,100.0
electrical,"['11-9021.00', '47-1011.00', '47-3013.00', '49-2094.00', '49-9098.00']",exact,100.0
electrical engineer,['17-2071.00'],exact,100.0
electrical engineering,"['11-9021.00', '47-1011.00', '47-3013.00', '49-2094.00', '49-9098.00']",fuzzy,100.0
electrical estimator project manager,"['11-9021.00', '47-1011.00', '47-3013.00', '49-2094.00', '49-9098.00']",fuzzy,100.0
electrician,"['47-1011.00', '47-2111.00', '47-3013.00', '49-9097.00']",exact,100.0
elegibility specialist,"['13-1023.00', '41-9021.00']",fuzzy,100.0
elite personal trainer,"['39-6012.00', '39-9021.00', '43-6011.00', '43-6014.00']",fuzzy,100.0
ell tutor,['25-3099.02'],exact,100.0
embedded software analyst,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
emea service desk manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
employe de production,"['27-4012.00', '27-4031.00', '43-5061.00', '43-9031.00', '51-1011.00', '51-2023.00', '51-2092.00', '51-3091.00', '51-5113.00', '51-9199.00']",fuzzy,100.0
employe service clients,"['35-9011.00', '43-2021.00', '43-9199.00']",fuzzy,100.0
employee,"['13-1071.00', '13-1199.00']",fuzzy,100.0
employee relations consultant,"['13-1111.00', '13-1199.00', '13-1199.02', '15-1143.01', '15-1199.00', '15-2021.00', '19-3032.00', '41-2031.00']",fuzzy,100.0
employee relations specialist,"['13-1075.00', '13-1199.00']",exact,100.0
employee relations supervisor,['13-1075.00'],fuzzy,100.0
energy manager,"['13-1199.01', '17-2199.03']",exact,100.0
enfermeira da unidade de internacao do hospital vila da serra,['31-9091.00'],fuzzy,100.0
engagement manager,['41-9031.00'],fuzzy,100.0
engineer,"['11-9041.00', '17-2021.00', '17-2031.00', '17-2041.00', '17-2051.00', '17-2051.01', '17-2061.00', '17-2071.00', '17-2072.00', '17-2111.02', '17-2112.00', '17-2112.01', '17-2141.00', '17-2141.01', '17-2141.02', '17-2151.00', '17-2161.00', '17-2171.00', '17-2199.00', '17-2199.05', '17-2199.06', '17-2199.10', '17-2199.11', '17-3012.02', '17-3022.00', '17-3023.03', '27-4012.00', '49-9071.00', '53-4012.00', '53-4013.00', '53-4021.00', '53-5031.00']",exact,100.0
engineer audit services,['13-2011.02'],fuzzy,100.0
engineer in financial crimes,"['11-9041.00', '17-2021.00', '17-2031.00', '17-2041.00', '17-2051.00', '17-2051.01', '17-2061.00', '17-2071.00', '17-2072.00', '17-2111.02', '17-2112.00', '17-2112.01', '17-2141.00', '17-2141.01', '17-2141.02', '17-2151.00', '17-2161.00', '17-2171.00', '17-2199.00', '17-2199.05', '17-2199.06', '17-2199.10', '17-2199.11', '17-3012.02', '17-3022.00', '17-3023.03', '27-4012.00', '49-9071.00', '53-4012.00', '53-4013.00', '53-4021.00', '53-5031.00']",fuzzy,100.0
engineer pipeline systems,"['11-9041.00', '17-2021.00', '17-2031.00', '17-2041.00', '17-2051.00', '17-2051.01', '17-2061.00', '17-2071.00', '17-2072.00', '17-2111.02', '17-2112.00', '17-2112.01', '17-2141.00', '17-2141.01', '17-2141.02', '17-2151.00', '17-2161.00', '17-2171.00', '17-2199.00', '17-2199.05', '17-2199.06', '17-2199.10', '17-2199.11', '17-3012.02', '17-3022.00', '17-3023.03', '27-4012.00', '49-9071.00', '53-4012.00', '53-4013.00', '53-4021.00', '53-5031.00']",fuzzy,100.0
engineer pipeline systems and engineering services,"['11-9041.00', '17-2021.00', '17-2031.00', '17-2041.00', '17-2051.00', '17-2051.01', '17-2061.00', '17-2071.00', '17-2072.00', '17-2111.02', '17-2112.00', '17-2112.01', '17-2141.00', '17-2141.01', '17-2141.02', '17-2151.00', '17-2161.00', '17-2171.00', '17-2199.00', '17-2199.05', '17-2199.06', '17-2199.10', '17-2199.11', '17-3012.02', '17-3022.00', '17-3023.03', '27-4012.00', '49-9071.00', '53-4012.00', '53-4013.00', '53-4021.00', '53-5031.00']",fuzzy,100.0
engineer sas,"['11-9041.00', '17-2021.00', '17-2031.00', '17-2041.00', '17-2051.00', '17-2051.01', '17-2061.00', '17-2071.00', '17-2072.00', '17-2111.02', '17-2112.00', '17-2112.01', '17-2141.00', '17-2141.01', '17-2141.02', '17-2151.00', '17-2161.00', '17-2171.00', '17-2199.00', '17-2199.05', '17-2199.06', '17-2199.10', '17-2199.11', '17-3012.02', '17-3022.00', '17-3023.03', '27-4012.00', '49-9071.00', '53-4012.00', '53-4013.00', '53-4021.00', '53-5031.00']",fuzzy,100.0
engineering,"['17-3012.02', '17-3022.00', '17-3023.03', '17-3025.00', '17-3029.00', '17-3029.02', '17-3031.01']",exact,100.0
engineering graduate,"['17-3012.02', '17-3022.00', '17-3023.03', '17-3025.00', '17-3029.00', '17-3029.02', '17-3031.01']",fuzzy,100.0
engineering in operation project,"['17-3012.02', '17-3022.00', '17-3023.03', '17-3025.00', '17-3029.00', '17-3029.02', '17-3031.01']",fuzzy,100.0
engineering manager,"['11-9041.00', '17-2072.00', '17-2112.00', '17-2141.02', '17-2151.00', '17-2199.08']",exact,100.0
engineering planning man,"['17-3012.02', '17-3022.00', '17-3023.03', '17-3025.00', '17-3029.00', '17-3029.02', '17-3031.01']",fuzzy,100.0
engineering supply chain,"['17-3012.02', '17-3022.00', '17-3023.03', '17-3025.00', '17-3029.00', '17-3029.02', '17-3031.01']",fuzzy,100.0
engineering technical steward,"['17-3012.02', '17-3022.00', '17-3023.03', '17-3025.00', '17-3029.00', '17-3029.02', '17-3031.01']",fuzzy,100.0
english teacher,"['25-1123.00', '25-2022.00', '25-2031.00', '25-3011.00']",exact,100.0
enterprise architect director,"['15-1199.02', '17-1011.00']",fuzzy,100.0
enterprise service desk agent,"['13-1011.00', '13-1021.00', '13-2061.00', '33-3021.01', '33-3021.03', '41-1011.00', '41-3011.00', '41-4012.00', '53-4031.00']",fuzzy,100.0
enterprise solutions consultant,"['13-1111.00', '13-1199.00', '13-1199.02', '15-1143.01', '15-1199.00', '15-2021.00', '19-3032.00', '41-2031.00']",fuzzy,100.0
enterprise systems administrator,['15-1142.00'],exact,100.0
environment health and safety manager,"['11-9039.02', '11-9111.00', '21-1023.00']",fuzzy,100.0
environmental advisor,['13-1041.01'],exact,100.0
environmental coordinator,['17-2081.00'],exact,100.0
environmental research specialist,['37-2012.00'],fuzzy,100.0
environmental specialist,"['13-1041.01', '13-1041.04', '17-3025.00', '19-1031.01', '19-2041.00', '19-4091.00', '29-9011.00']",exact,100.0
epic resolute pb analyst implementation specialist,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
equipment technician,"['31-9093.00', '49-3041.00', '49-3042.00', '49-9062.00', '49-9071.00', '51-4021.00', '51-4031.00']",exact,100.0
equity portfolio investment,['43-4011.00'],fuzzy,100.0
equity research analyst,['13-2051.00'],exact,100.0
er registered nurse,"['29-1141.00', '29-1141.01', '29-1141.02', '29-1141.03', '31-1014.00']",fuzzy,100.0
escalations engineer,"['11-9041.00', '17-2021.00', '17-2031.00', '17-2041.00', '17-2051.00', '17-2051.01', '17-2061.00', '17-2071.00', '17-2072.00', '17-2111.02', '17-2112.00', '17-2112.01', '17-2141.00', '17-2141.01', '17-2141.02', '17-2151.00', '17-2161.00', '17-2171.00', '17-2199.00', '17-2199.05', '17-2199.06', '17-2199.10', '17-2199.11', '17-3012.02', '17-3022.00', '17-3023.03', '27-4012.00', '49-9071.00', '53-4012.00', '53-4013.00', '53-4021.00', '53-5031.00']",fuzzy,100.0
especialista fiscal,['43-9021.00'],fuzzy,100.0
esthetician,['39-5094.00'],exact,100.0
etf administration manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
evaluation consultant,"['13-1111.00', '13-1199.00', '13-1199.02', '15-1143.01', '15-1199.00', '15-2021.00', '19-3032.00', '41-2031.00']",fuzzy,100.0
event coordinator,['13-1121.00'],exact,100.0
event manager,['13-1121.00'],exact,100.0
event officer,"['13-1121.00', '39-3031.00']",fuzzy,100.0
event planning,['13-1121.00'],exact,100.0
event pr coordinator,"['11-3061.00', '21-1012.00', '43-1011.00', '51-1011.00']",fuzzy,100.0
ex housekeeper,"['37-1011.00', '37-2012.00', '39-3093.00']",fuzzy,100.0
executing team leader,['51-1011.00'],fuzzy,100.0
executive,['43-6011.00'],exact,100.0
executive administrative,['43-6011.00'],exact,100.0
executive board member director of project consulting,"['11-9199.11', '15-1199.12', '19-2041.02', '19-3091.02', '27-2012.01', '27-2012.02', '27-2012.03', '27-4014.00', '27-4032.00', '41-1012.00']",fuzzy,100.0
executive director,"['11-1011.00', '11-1021.00']",exact,100.0
executive director learning and talent development,"['11-3011.00', '11-3131.00', '11-9121.00', '11-9121.01', '11-9199.10', '13-1131.00', '13-1151.00', '19-2031.00', '19-2041.03', '51-8091.00']",fuzzy,100.0
executive director marketing,"['11-9199.11', '15-1199.12', '19-2041.02', '19-3091.02', '27-2012.01', '27-2012.02', '27-2012.03', '27-4014.00', '27-4032.00', '41-1012.00']",fuzzy,100.0
executive director safety and workforce development,"['11-3011.00', '11-3131.00', '11-9121.00', '11-9121.01', '11-9199.10', '13-1131.00', '13-1151.00', '19-2031.00', '19-2041.03', '51-8091.00']",fuzzy,100.0
executive director uma trading,"['11-9199.11', '15-1199.12', '19-2041.02', '19-3091.02', '27-2012.01', '27-2012.02', '27-2012.03', '27-4014.00', '27-4032.00', '41-1012.00']",fuzzy,100.0
executive hr and talent acquisition,['43-6011.00'],fuzzy,100.0
executive logistics and dispatch,"['33-1021.02', '43-5032.00']",fuzzy,100.0
executive officer,['11-1011.00'],exact,100.0
executive project manager,['43-6011.00'],fuzzy,100.0
executive recruiter,['13-1071.00'],exact,100.0
executive recruitment,['43-6011.00'],fuzzy,100.0
executive team,['43-6011.00'],fuzzy,100.0
executive territory manger,['43-6011.00'],fuzzy,100.0
executive to city administrator,"['11-3011.00', '11-3061.00', '11-9031.00', '13-1023.00', '43-3021.02']",fuzzy,100.0
executive trainee,['43-6011.00'],fuzzy,100.0
executive underwriter,['43-6011.00'],fuzzy,100.0
executive vice chancellor and provost and professor,"['11-1011.00', '11-9033.00', '21-2011.00']",fuzzy,100.0
executive vice president,['11-1011.00'],exact,100.0
executive vice president human resources director,"['11-9199.11', '15-1199.12', '19-2041.02', '19-3091.02', '27-2012.01', '27-2012.02', '27-2012.03', '27-4014.00', '27-4032.00', '41-1012.00']",fuzzy,100.0
exercise planning officer,"['21-1029.00', '21-1092.00', '33-3021.05', '33-3051.01']",fuzzy,100.0
expeditor,"['35-2021.00', '43-3061.00', '43-5061.00']",exact,100.0
experience design manager,"['27-1025.00', '27-1027.00']",fuzzy,100.0
experienced hire engineering recruiter,"['17-3012.02', '17-3022.00', '17-3023.03', '17-3025.00', '17-3029.00', '17-3029.02', '17-3031.01']",fuzzy,100.0
expert coach category management tmo development lab,"['21-1015.00', '27-2022.00']",fuzzy,100.0
export sales coordinator accountant,"['13-2011.00', '13-2011.01', '43-3031.00']",fuzzy,100.0
export sales manager,"['11-2022.00', '13-1199.03']",fuzzy,100.0
facility management and workplace management expert in the centre of expertise housing facilities,"['21-1093.00', '39-9041.00']",fuzzy,100.0
facility security officer,"['21-1029.00', '21-1092.00', '33-3021.05', '33-3051.01']",fuzzy,100.0
faculty member,"['25-1011.00', '25-1021.00', '25-1031.00', '25-1042.00', '25-1053.00', '25-1063.00', '25-1065.00', '25-1066.00', '25-1067.00', '25-1071.00', '25-1072.00', '25-1081.00', '25-1112.00', '25-1113.00', '25-1123.00', '25-1194.00', '25-1199.00']",exact,100.0
fall 2022 litigation legal,['23-2011.00'],fuzzy,100.0
family permanency specialist,"['13-1023.00', '41-9021.00']",fuzzy,100.0
family permanency specialist supervisor,"['13-1023.00', '41-9021.00']",fuzzy,100.0
field consultant,"['13-1111.00', '13-1199.00', '13-1199.02', '15-1143.01', '15-1199.00', '15-2021.00', '19-3032.00', '41-2031.00']",fuzzy,100.0
field marketing manager,"['13-1021.00', '43-9061.00']",fuzzy,100.0
field operations supervisor,['47-1011.00'],exact,100.0
field planning marketing manager,"['13-1021.00', '43-9061.00']",fuzzy,100.0
field services exec manager ovrs,"['13-1021.00', '43-9061.00']",fuzzy,100.0
finance,"['13-2081.00', '43-3031.00', '43-9199.00']",exact,100.0
finance administrator,"['11-3011.00', '11-3061.00', '11-9031.00', '13-1023.00', '43-3021.02']",fuzzy,100.0
finance analyst,"['13-2051.00', '13-2099.01']",exact,100.0
finance and business development analyst,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
finance customer management coordinator,"['11-3061.00', '21-1012.00', '43-1011.00', '51-1011.00']",fuzzy,100.0
finance customer management coordinator account owner,"['11-3061.00', '21-1012.00', '43-1011.00', '51-1011.00']",fuzzy,100.0
finance director middle east africa,"['11-9199.11', '15-1199.12', '19-2041.02', '19-3091.02', '27-2012.01', '27-2012.02', '27-2012.03', '27-4014.00', '27-4032.00', '41-1012.00']",fuzzy,100.0
finance manager,"['11-3031.01', '11-3031.02', '43-4041.02']",exact,100.0
finance office manager,"['13-2081.00', '43-3031.00', '43-9199.00']",fuzzy,100.0
finance positions,"['13-2081.00', '43-3031.00', '43-9199.00']",fuzzy,100.0
financial,['13-2071.01'],exact,100.0
financial advisor,['13-2052.00'],exact,100.0
financial analyst,"['13-2041.00', '13-2051.00', '13-2099.01']",exact,100.0
financial analyst capital planning,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
financial analyst cmbs loan surveillance,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
financial analyst corporate reporting,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
financial analyst logistics,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
financial controller,['11-3031.01'],exact,100.0
financial controller emea,"['11-3031.01', '43-4041.01', '53-2021.00']",fuzzy,100.0
financial controller north america,"['11-3031.01', '43-4041.01', '53-2021.00']",fuzzy,100.0
financial counselor,"['13-2052.00', '13-2071.01']",exact,100.0
financial counselor merger float,"['13-2071.00', '19-3031.03', '21-1011.00', '21-1012.00', '21-1013.00', '21-1014.00', '21-1015.00', '21-1023.00', '41-9099.00']",fuzzy,100.0
financial counselor team,"['13-2071.00', '19-3031.03', '21-1011.00', '21-1012.00', '21-1013.00', '21-1014.00', '21-1015.00', '21-1023.00', '41-9099.00']",fuzzy,100.0
financial crimes kyc compliance consultant,"['13-1111.00', '13-1199.00', '13-1199.02', '15-1143.01', '15-1199.00', '15-2021.00', '19-3032.00', '41-2031.00']",fuzzy,100.0
financial officer middle east africa,['13-2071.01'],fuzzy,100.0
financial officer middle east asia pacific,['13-2071.01'],fuzzy,100.0
financial planner,['13-2052.00'],exact,100.0
financial planning and analysis,['13-2071.01'],fuzzy,100.0
fireman,"['33-2011.01', '51-8021.00', '53-4012.00']",exact,100.0
first sergeant,['29-2099.07'],fuzzy,100.0
fiscal,['43-9021.00'],exact,100.0
fitness specialist,"['29-9091.00', '39-9031.00']",exact,100.0
fitting room specialist,['41-2031.00'],fuzzy,100.0
fixed income investment analyst,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
floor supervisior,['39-3031.00'],fuzzy,100.0
floor supervisor,"['29-1141.00', '35-1012.00', '39-1011.00', '41-1011.00', '51-1011.00', '53-1021.00']",exact,100.0
food and beverage,"['13-1199.00', '43-5061.00']",fuzzy,100.0
food and beverage attendant,"['35-2015.00', '35-9011.00']",exact,100.0
food production chef,"['35-1011.00', '35-2012.00']",fuzzy,100.0
food runner,"['35-3031.00', '35-3041.00']",exact,100.0
food server,"['35-2021.00', '35-3022.00', '35-3031.00']",exact,100.0
food service worker,"['35-1012.00', '35-2012.00', '35-2021.00', '35-3021.00', '35-3022.00', '35-3041.00']",exact,100.0
foreign trade sales,"['13-1199.06', '35-3022.01', '41-1012.00', '41-2011.00', '41-2022.00', '41-2031.00', '41-3021.00', '41-3031.02', '41-3099.00', '41-3099.01', '41-4011.07', '41-4012.00', '41-9099.00', '43-4011.00', '43-4151.00', '43-5081.01', '43-5081.02']",fuzzy,100.0
foreman,"['45-4011.00', '47-1011.00', '47-1011.03', '47-2031.01', '47-2121.00', '47-2141.00', '53-1021.00']",exact,100.0
forensic interview specialist,"['19-4092.00', '33-3021.02']",fuzzy,100.0
forest restoration supervisor,['19-1032.00'],fuzzy,100.0
format development manager,"['11-3011.00', '11-3131.00', '11-9121.00', '11-9121.01', '11-9199.10', '13-1131.00', '13-1151.00', '19-2031.00', '19-2041.03', '51-8091.00']",fuzzy,100.0
founder,['51-4071.00'],exact,100.0
founder spreading learning with positive impact,['51-4071.00'],fuzzy,100.0
founding editor,"['27-3041.00', '27-3042.00', '27-4014.00', '27-4032.00', '43-9031.00', '43-9081.00']",fuzzy,100.0
franchise counselor,"['13-2071.00', '19-3031.03', '21-1011.00', '21-1012.00', '21-1013.00', '21-1014.00', '21-1015.00', '21-1023.00', '41-9099.00']",fuzzy,100.0
fraud analyst,['13-2099.04'],exact,100.0
freelance editor,"['27-3041.00', '27-3042.00', '27-4014.00', '27-4032.00', '43-9031.00', '43-9081.00']",fuzzy,100.0
freelance writer,"['27-3043.04', '27-3043.05']",exact,100.0
freelance writer and editor b2b and nonprofit communications,['27-3031.00'],fuzzy,100.0
freight sales account executive,"['11-2011.00', '11-2031.00', '13-2052.00', '27-3031.00', '27-3043.04', '41-3011.00', '41-3021.00', '41-3031.01', '41-3031.02', '41-3099.01', '41-4011.00', '41-4011.07', '41-4012.00', '41-9031.00']",fuzzy,100.0
freshman orientation counselor,"['13-2071.00', '19-3031.03', '21-1011.00', '21-1012.00', '21-1013.00', '21-1014.00', '21-1015.00', '21-1023.00', '41-9099.00']",fuzzy,100.0
front desk clerk,"['39-3091.00', '43-4081.00', '43-4171.00']",exact,100.0
front desk coordinator,"['43-4081.00', '43-6013.00', '43-6014.00']",exact,100.0
front desk supervisor,['43-4081.00'],exact,100.0
front end,['49-3023.02'],fuzzy,100.0
front end coordinator,"['11-3061.00', '21-1012.00', '43-1011.00', '51-1011.00']",fuzzy,100.0
front of house routesetter,['11-9111.00'],fuzzy,100.0
front office coordinator,['43-6013.00'],exact,100.0
front office manager,"['11-9081.00', '43-1011.00']",exact,100.0
frontend developer,"['11-9021.00', '11-9141.00', '15-1132.00', '15-1133.00', '51-4062.00', '51-9151.00']",fuzzy,100.0
fsqr leader of starch and sweeteners china,['51-1011.00'],fuzzy,100.0
fuel transporter hazmat cdl a,"['31-1015.00', '43-5021.00', '53-3041.00']",fuzzy,100.0
full stack developer,['51-9151.00'],exact,100.0
full stack web developer,"['11-9021.00', '11-9141.00', '15-1132.00', '15-1133.00', '51-4062.00', '51-9151.00']",fuzzy,100.0
funeral director,"['11-9061.00', '39-4031.00']",exact,100.0
funeral preplanning director,"['11-9199.11', '15-1199.12', '19-2041.02', '19-3091.02', '27-2012.01', '27-2012.02', '27-2012.03', '27-4014.00', '27-4032.00', '41-1012.00']",fuzzy,100.0
fuser,['51-4199.00'],fuzzy,100.0
garden pro loader,"['45-1011.05', '45-2092.02', '45-2093.00', '45-4029.00', '53-7033.00', '53-7051.00', '53-7062.00', '53-7063.00', '53-7121.00']",fuzzy,100.0
gas station cashier,['41-2011.00'],exact,100.0
general,['11-9021.00'],exact,100.0
general foreman,['47-1011.00'],exact,100.0
general foreman safety manager,"['45-4011.00', '47-1011.00', '47-1011.03', '47-2031.01', '47-2121.00', '47-2141.00', '53-1021.00']",fuzzy,100.0
general maintenance manager,['11-9021.00'],fuzzy,100.0
general manager,"['11-1021.00', '11-9051.00', '11-9081.00', '27-2012.01']",exact,100.0
general manager licensed optician,['11-9021.00'],fuzzy,100.0
general manager of operations,['11-9021.00'],fuzzy,100.0
general manager of prince street cafe,['11-9021.00'],fuzzy,100.0
general services manager,['11-9021.00'],fuzzy,100.0
generation cybersecurity manager,['11-3051.06'],fuzzy,100.0
gerente de marketing,"['11-2011.01', '11-2021.00', '13-1161.00']",fuzzy,100.0
gestora da unidade de internacao,['31-9091.00'],fuzzy,100.0
gl accountant,"['13-2011.00', '13-2011.01', '43-3031.00']",fuzzy,100.0
global account director,['11-2011.00'],fuzzy,100.0
global account executive,"['11-2011.00', '11-2031.00', '13-2052.00', '27-3031.00', '27-3043.04', '41-3011.00', '41-3021.00', '41-3031.01', '41-3031.02', '41-3099.01', '41-4011.00', '41-4011.07', '41-4012.00', '41-9031.00']",fuzzy,100.0
global b2b isv partner portfolio,['23-1011.00'],fuzzy,100.0
global business manager automotive oem,"['11-1021.00', '11-3011.00', '11-3031.01', '13-1011.00', '43-1011.00', '43-4041.01', '43-4041.02']",fuzzy,100.0
global communications director,['27-3031.00'],fuzzy,100.0
global credit manager,"['43-4041.01', '43-4041.02']",fuzzy,100.0
global enterprise isv partner portfolio,['23-1011.00'],fuzzy,100.0
global human resource business partner,['23-1011.00'],fuzzy,100.0
global intelligence travel security manager,"['55-1019.00', '55-2013.00']",fuzzy,100.0
global listing support and content moderator,['39-9021.00'],fuzzy,100.0
global program coordinator quality by design and risk management,"['11-3061.00', '21-1012.00', '43-1011.00', '51-1011.00']",fuzzy,100.0
global quotation specialist,"['13-1023.00', '41-9021.00']",fuzzy,100.0
global remote access administrator,"['11-3011.00', '11-3061.00', '11-9031.00', '13-1023.00', '43-3021.02']",fuzzy,100.0
global security analyst,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
global shaper,"['51-7099.00', '51-9021.00', '51-9031.00', '51-9195.00', '51-9199.00']",fuzzy,100.0
gourmet attendant,"['31-1015.00', '37-2011.00', '39-3091.00', '39-4021.00', '39-9011.00', '43-9199.00', '53-6021.00', '53-6031.00', '53-6061.00']",fuzzy,100.0
